Jednostka podzialu administracyjnego;Rok;Przestepstwa stwierdzone;Przestepstwa wykryte;% wykrycia;;;;;;;
woj. podlaskie;2003;32;27;84,4;;;;;;;
woj. podlaskie;2002;62;55;88,7;;;;;;;
woj. podlaskie;2001;45;40;88,9;;;;;;;
woj. podlaskie;2000;49;48;98,0;;;;;;;
woj. podlaskie;1999;37;36;97,3;;;;;;;
woj. pomorskie;2018;27;27;100,0;;;;;;;
woj. pomorskie;2017;46;45;97,8;;;;;;;
woj. pomorskie;2016;21;20;95,2;;;;;;;
woj. pomorskie;2015;28;29;100,0;;;;;;;
woj. pomorskie;2014;38;35;92,1;;;;;;;
woj. pomorskie;2013;33;30;90,9;;;;;;;
woj. pomorskie;2012;27;24;85,7;;;;;;;
woj. pomorskie;2011;40;38;95,0;;;;;;;
woj. pomorskie;2010;43;41;93,2;;;;;;;
woj. pomorskie;2009;32;33;97,1;;;;;;;
woj. pomorskie;2008;46;46;97,9;;;;;;;
woj. pomorskie;2007;38;36;90,0;;;;;;;
woj. pomorskie;2006;42;40;95,2;;;;;;;
woj. pomorskie;2005;44;35;76,1;;;;;;;
woj. pomorskie;2004;73;69;94,5;;;;;;;
woj. pomorskie;2003;67;64;91,4;;;;;;;
woj. pomorskie;2002;52;50;89,3;;;;;;;
woj. pomorskie;2001;64;60;88,2;;;;;;;
woj. pomorskie;2000;83;65;77,4;;;;;;;
woj. pomorskie;1999;70;58;82,9;;;;;;;
woj. śląskie;2018;63;60;95,2;;;;;;;
woj. śląskie;2017;51;48;94,1;;;;;;;
woj. śląskie;2016;69;68;98,6;;;;;;;
woj. śląskie;2015;77;74;94,9;;;;;;;
woj. śląskie;2014;67;66;98,5;;;;;;;
woj. śląskie;2013;69;68;97,1;;;;;;;
woj. śląskie;2012;78;76;96,2;;;;;;;
woj. śląskie;2011;86;88;100,0;;;;;;;
woj. śląskie;2010;90;81;89,0;;;;;;;
woj. śląskie;2009;99;96;94,1;;;;;;;
woj. śląskie;2008;89;89;97,8;;;;;;;
woj. śląskie;2007;101;103;96,3;;;;;;;
woj. śląskie;2006;119;108;90,0;;;;;;;
woj. śląskie;2005;107;102;93,6;;;;;;;
woj. śląskie;2004;138;132;93,6;;;;;;;
woj. śląskie;2003;116;112;91,8;;;;;;;
woj. śląskie;2002;131;122;92,4;;;;;;;
woj. śląskie;2001;188;179;94,7;;;;;;;
woj. śląskie;2000;157;151;88,3;;;;;;;
woj. śląskie;1999;145;136;93,2;;;;;;;
woj. świętokrzyskie;2018;26;25;96,2;;;;;;;
woj. świętokrzyskie;2017;16;16;100,0;;;;;;;
woj. świętokrzyskie;2016;10;10;100,0;;;;;;;
woj. świętokrzyskie;2015;11;11;100,0;;;;;;;
woj. świętokrzyskie;2014;4;5;100,0;;;;;;;
woj. świętokrzyskie;2013;13;12;92,3;;;;;;;
woj. świętokrzyskie;2012;14;14;100,0;;;;;;;
woj. świętokrzyskie;2011;29;30;100,0;;;;;;;
woj. świętokrzyskie;2010;21;21;95,5;;;;;;;
woj. świętokrzyskie;2009;19;18;94,7;;;;;;;
woj. świętokrzyskie;2008;23;21;91,3;;;;;;;
woj. świętokrzyskie;2007;19;18;94,7;;;;;;;
woj. świętokrzyskie;2006;20;18;90,0;;;;;;;
woj. świętokrzyskie;2005;24;20;83,3;;;;;;;
woj. świętokrzyskie;2004;24;22;91,7;;;;;;;
woj. świętokrzyskie;2003;27;22;81,5;;;;;;;
woj. świętokrzyskie;2002;38;33;86,8;;;;;;;
woj. świętokrzyskie;2001;38;38;95,0;;;;;;;
woj. świętokrzyskie;2000;46;39;84,8;;;;;;;
woj. świętokrzyskie;1999;32;27;84,4;;;;;;;
woj. warmińsko-mazurskie;2018;17;14;82,4;;;;;;;
woj. warmińsko-mazurskie;2017;25;25;100,0;;;;;;;
woj. warmińsko-mazurskie;2016;22;22;100,0;;;;;;;
woj. warmińsko-mazurskie;2015;19;19;100,0;;;;;;;
woj. warmińsko-mazurskie;2014;18;17;94,4;;;;;;;
woj. warmińsko-mazurskie;2013;18;17;94,4;;;;;;;
woj. warmińsko-mazurskie;2012;26;26;100,0;;;;;;;
woj. warmińsko-mazurskie;2011;21;18;85,7;;;;;;;
woj. warmińsko-mazurskie;2010;25;26;96,3;;;;;;;
woj. warmińsko-mazurskie;2009;40;39;95,1;;;;;;;
woj. warmińsko-mazurskie;2008;29;25;86,2;;;;;;;
woj. warmińsko-mazurskie;2007;27;27;100,0;;;;;;;
woj. warmińsko-mazurskie;2006;44;42;95,5;;;;;;;
woj. warmińsko-mazurskie;2005;41;41;97,6;;;;;;;
woj. warmińsko-mazurskie;2004;36;37;94,9;;;;;;;
woj. warmińsko-mazurskie;2003;53;47;88,7;;;;;;;
woj. warmińsko-mazurskie;2002;73;71;93,4;;;;;;;
woj. warmińsko-mazurskie;2001;60;55;91,7;;;;;;;
woj. warmińsko-mazurskie;2000;52;46;88,5;;;;;;;
woj. warmińsko-mazurskie;1999;53;52;94,5;;;;;;;
woj. wielkopolskie;2018;36;34;94,4;;;;;;;
woj. wielkopolskie;2017;29;28;96,6;;;;;;;
woj. wielkopolskie;2016;21;20;95,2;;;;;;;
woj. wielkopolskie;2015;23;22;95,7;;;;;;;
woj. wielkopolskie;2014;33;32;97,0;;;;;;;
woj. wielkopolskie;2013;31;28;87,5;;;;;;;
woj. wielkopolskie;2012;39;40;100,0;;;;;;;
woj. wielkopolskie;2011;42;41;97,6;;;;;;;
woj. wielkopolskie;2010;36;34;91,9;;;;;;;
woj. wielkopolskie;2009;47;43;91,5;;;;;;;
woj. wielkopolskie;2008;39;34;87,2;;;;;;;
woj. wielkopolskie;2007;42;37;88,1;;;;;;;
woj. wielkopolskie;2006;42;40;93,0;;;;;;;
woj. wielkopolskie;2005;49;47;95,9;;;;;;;
woj. wielkopolskie;2004;60;59;96,7;;;;;;;
woj. wielkopolskie;2003;81;67;81,7;;;;;;;
woj. wielkopolskie;2002;76;71;91,0;;;;;;;
woj. wielkopolskie;2001;59;52;86,7;;;;;;;
woj. wielkopolskie;2000;53;44;83,0;;;;;;;
woj. wielkopolskie;1999;44;40;90,9;;;;;;;
woj. zachodniopomorskie;2018;27;26;96,3;;;;;;;
